trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.53778806273282109, 'e': 0.22594815553398728}",30,19,13.323847588477092,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.53886471515182166, 'e': 0.2236886739786474}",20,0,11.357719408360568,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.53994352303040127, 'e': 0.22145178723886091}",20,0,27.6267029411875,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.54102449068379288, 'e': 0.2192372693664723}",25,3,-62.74877692535728,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
152,False,"{'a': 0.54210762243586863, 'e': 0.21704489667280757}",20,0,11.884280693617308,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.54319292261915697, 'e': 0.2148744477060795}",20,0,28.379626331548096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.54428039557486008, 'e': 0.2127257032290187}",20,0,-30.69331821773776,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
155,False,"{'a': 0.54537004565287117, 'e': 0.21059844619672852}",30,0,-14.84463866920714,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
156,False,"{'a': 0.54646187721179196, 'e': 0.20849246173476124}",25,16,15.00666532724491,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.54755589461895027, 'e': 0.2064075371174136}",30,0,7.801521668536859,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
158,False,"{'a': 0.54865210225041705, 'e': 0.2043434617462395}",20,8,21.29126207975088,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.54975050449102447, 'e': 0.2023000271287771}",20,0,-21.385470847374297,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.5508511057343829, 'e': 0.2002770268574893}",20,0,18.317931470292923,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.55195391038289865, 'e': 0.19827425658891443}",30,14,-12.65810648735032,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5530589228477919, 'e': 0.19629151402302528}",20,14,11.293561482915234,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.55416614754911386, 'e': 0.19432859888279502}",35,21,20.73225192133081,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.55527558891576501, 'e': 0.19238531289396707}",20,0,29.846263352950533,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.55638725138551215, 'e': 0.1904614597650274}",25,0,15.344403571921145,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
166,False,"{'a': 0.55750113940500667, 'e': 0.1885568451673771}",30,16,24.68885760817125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.55861725742980217, 'e': 0.18667127671570335}",20,1,18.368881950120244,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.55973560992437221, 'e': 0.1848045639485463}",20,9,-1.8007715079929791,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.56085620136212821, 'e': 0.18295651830906084}",20,2,0.37153127993500434,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.56197903622543754, 'e': 0.18112695312597024}",30,20,-10.002150108643935,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.56310411900564106, 'e': 0.17931568359471053}",20,10,-1.351122323842748,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
